STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,3/25/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,3/26/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,3/27/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,3/28/2020,0.49
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,3/29/2020,1.01
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,3/30/2020,0.03
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,3/31/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/1/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/2/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/3/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/4/2020,0.05
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/5/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/6/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/7/2020,0.02
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/8/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/9/2020,0.23
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/10/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/11/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/12/2020,0.11
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/13/2020,0.2
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/14/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/15/2020,0.02
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/16/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/17/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/18/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/19/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/20/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/21/2020,0.05
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/22/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/23/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/24/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/25/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/26/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/27/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/28/2020,0.19
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/29/2020,0.47
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,4/30/2020,1.26
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/1/2020,0.05
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/2/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/3/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/4/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/5/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/6/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/7/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/8/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/9/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/10/2020,0.05
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/11/2020,0.14
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/12/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/13/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/14/2020,0.28
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/15/2020,0.27
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/16/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/17/2020,0.35
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/18/2020,2.76
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/19/2020,0.52
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/20/2020,0.18
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/21/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/22/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/23/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/24/2020,0.13
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/25/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/26/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/27/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/28/2020,0
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/29/2020,0.29
US1WIWK0081,"MENOMONEE FALLS 2.0 NE, WI US",43.168141,-88.09832,246.9,5/30/2020,0
